,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,predSignalNoActionUtility,revTargetDict,recTraj,recActSeq,sigTraj,sigActSeq
4,"(4, 0)","(4, 6)","green circle5;green square2","['green', 'circle', 'purple', 'square']","{(1, 5): 'green circle5', (4, 2): 'green square2', (7, 4): 'purple square4'}",3,"N","Flip","green","{'green circle5': (1, 5), 'green square2': (4, 2), 'purple square4': (7, 4)}","{'green circle5': [(4, 6), (3, 6), (2, 6), (1, 6), (1, 5)], 'green square2': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'purple square4': [(4, 6), (5, 6), (6, 6), (7, 6), (7, 5), (7, 4)]}","{'green circle5': ['left', 'left', 'left', 'down'], 'green square2': ['down', 'down', 'down', 'down'], 'purple square4': ['right', 'right', 'right', 'down', 'down']}","{'green circle5': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5)], 'green square2': [(4, 0), (4, 1), (4, 2)], 'purple square4': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4), (7, 4)]}","{'green circle5': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left'], 'green square2': ['up', 'up'], 'purple square4': ['up', 'up', 'up', 'up', 'right', 'right', 'right']}"
5,"(4, 0)","(4, 6)","orange square7;green square2","['green', 'triangle', 'orange', 'square']","{(7, 7): 'orange square7', (4, 2): 'green square2', (0, 7): 'green triangle7'}",3,"N","Flip","square","{'orange square7': (7, 7), 'green square2': (4, 2), 'green triangle7': (0, 7)}","{'orange square7': [(4, 6), (4, 7), (5, 7), (6, 7), (7, 7)], 'green square2': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'green triangle7': [(4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 7)]}","{'orange square7': ['up', 'right', 'right', 'right'], 'green square2': ['down', 'down', 'down', 'down'], 'green triangle7': ['left', 'left', 'left', 'left', 'up']}","{'orange square7': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7)], 'green square2': [(4, 0), (4, 1), (4, 2)], 'green triangle7': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7)]}","{'orange square7': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green square2': ['up', 'up'], 'green triangle7': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left']}"
6,"(4, 0)","(4, 6)","orange square2","['green', 'triangle', 'orange', 'square']","{(8, 7): 'orange square7', (4, 2): 'orange square2', (0, 7): 'green triangle7'}",3,"N","DIY","do","{'orange square7': (8, 7), 'orange square2': (4, 2), 'green triangle7': (0, 7)}","{'orange square7': [(4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'orange square2': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'green triangle7': [(4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 7)]}","{'orange square7': ['up', 'right', 'right', 'right', 'right'], 'orange square2': ['down', 'down', 'down', 'down'], 'green triangle7': ['left', 'left', 'left', 'left', 'up']}","{'orange square7': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7)], 'orange square2': [(4, 0), (4, 1), (4, 2)], 'green triangle7': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)]}","{'orange square7': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'orange square2': ['up', 'up'], 'green triangle7': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}"
7,"(4, 0)","(4, 6)","purple square2","['green', 'triangle', 'purple', 'square']","{(7, 5): 'green square5', (4, 2): 'purple square2', (5, 9): 'purple triangle9'}",3,"N","DIY","do","{'green square5': (7, 5), 'purple square2': (4, 2), 'purple triangle9': (5, 9)}","{'green square5': [(4, 6), (4, 5), (5, 5), (6, 5), (7, 5)], 'purple square2': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'purple triangle9': [(4, 6), (4, 7), (4, 8), (4, 9), (5, 9)]}","{'green square5': ['down', 'right', 'right', 'right'], 'purple square2': ['down', 'down', 'down', 'down'], 'purple triangle9': ['up', 'up', 'up', 'right']}","{'green square5': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5)], 'purple square2': [(4, 0), (4, 1), (4, 2)], 'purple triangle9': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (5, 9)]}","{'green square5': ['right', 'right', 'right', 'up', 'up', 'up', 'up', 'up'], 'purple square2': ['up', 'up'], 'purple triangle9': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right']}"
