,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,predSignalNoActionUtility,revTargetDict,recTraj,recActSeq,sigTraj,sigActSeq
50,"(4, 0)","(4, 6)",orange circle89;green circle72,"['square', 'orange', 'circle', 'green']","{(8, 9): 'orange circle89', (7, 2): 'green circle72', (0, 7): 'green square07'}",3,N,Flip,circle,"{'orange circle89': (8, 9), 'green circle72': (7, 2), 'green square07': (0, 7)}","{'orange circle89': [(4, 6), (4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'green circle72': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (5, 2), (6, 2), (7, 2)], 'green square07': [(4, 6), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7)]}","{'orange circle89': ['up', 'up', 'up', 'right', 'right', 'right', 'right'], 'green circle72': ['down', 'down', 'down', 'down', 'right', 'right', 'right'], 'green square07': ['up', 'left', 'left', 'left', 'left']}","{'orange circle89': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9)], 'green circle72': [(4, 0), (4, 1), (4, 2), (5, 2), (6, 2), (7, 2)], 'green square07': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7)]}","{'orange circle89': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'green circle72': ['up', 'up', 'right', 'right', 'right'], 'green square07': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left']}"
51,"(4, 0)","(4, 6)",orange square88;green square22,"['square', 'orange', 'triangle', 'green']","{(8, 8): 'orange square88', (2, 2): 'green square22', (6, 4): 'green triangle64'}",3,N,Flip,square,"{'orange square88': (8, 8), 'green square22': (2, 2), 'green triangle64': (6, 4)}","{'orange square88': [(4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (8, 7), (8, 8)], 'green square22': [(4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2)], 'green triangle64': [(4, 6), (4, 5), (4, 4), (5, 4), (6, 4)]}","{'orange square88': ['right', 'right', 'right', 'right', 'up', 'up'], 'green square22': ['left', 'left', 'down', 'down', 'down', 'down'], 'green triangle64': ['down', 'down', 'right', 'right']}","{'orange square88': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8)], 'green square22': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2)], 'green triangle64': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4)]}","{'orange square88': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'green square22': ['left', 'left', 'up', 'up'], 'green triangle64': ['up', 'up', 'up', 'up', 'right', 'right']}"
52,"(4, 0)","(4, 6)",orange triangle59;green triangle42,"['orange', 'circle', 'triangle', 'green']","{(5, 9): 'orange triangle59', (4, 2): 'green triangle42', (0, 6): 'green circle06'}",3,N,Flip,triangle,"{'orange triangle59': (5, 9), 'green triangle42': (4, 2), 'green circle06': (0, 6)}","{'orange triangle59': [(4, 6), (4, 7), (4, 8), (4, 9), (5, 9)], 'green triangle42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'green circle06': [(4, 6), (3, 6), (2, 6), (1, 6), (0, 6)]}","{'orange triangle59': ['up', 'up', 'up', 'right'], 'green triangle42': ['down', 'down', 'down', 'down'], 'green circle06': ['left', 'left', 'left', 'left']}","{'orange triangle59': [(4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9)], 'green triangle42': [(4, 0), (4, 1), (4, 2)], 'green circle06': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)]}","{'orange triangle59': ['right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'green triangle42': ['up', 'up'], 'green circle06': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up']}"
53,"(4, 0)","(4, 6)",green circle09;purple circle21,"['square', 'circle', 'purple', 'green']","{(0, 9): 'green circle09', (2, 1): 'purple circle21', (8, 7): 'purple square87'}",3,N,Flip,circle,"{'green circle09': (0, 9), 'purple circle21': (2, 1), 'purple square87': (8, 7)}","{'green circle09': [(4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (0, 9)], 'purple circle21': [(4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1)], 'purple square87': [(4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)]}","{'green circle09': ['up', 'up', 'up', 'left', 'left', 'left', 'left'], 'purple circle21': ['left', 'left', 'down', 'down', 'down', 'down', 'down'], 'purple square87': ['up', 'right', 'right', 'right', 'right']}","{'green circle09': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (0, 9)], 'purple circle21': [(4, 0), (3, 0), (2, 0), (2, 1)], 'purple square87': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7)]}","{'green circle09': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left'], 'purple circle21': ['left', 'left', 'up'], 'purple square87': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}"
54,"(4, 0)","(4, 6)",green square75;purple square42,"['square', 'triangle', 'purple', 'green']","{(7, 5): 'green square75', (4, 2): 'purple square42', (5, 9): 'purple triangle59'}",3,N,Flip,square,"{'green square75': (7, 5), 'purple square42': (4, 2), 'purple triangle59': (5, 9)}","{'green square75': [(4, 6), (4, 5), (5, 5), (6, 5), (7, 5)], 'purple square42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'purple triangle59': [(4, 6), (5, 6), (5, 7), (5, 8), (5, 9)]}","{'green square75': ['down', 'right', 'right', 'right'], 'purple square42': ['down', 'down', 'down', 'down'], 'purple triangle59': ['right', 'up', 'up', 'up']}","{'green square75': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5), (7, 5)], 'purple square42': [(4, 0), (4, 1), (4, 2)], 'purple triangle59': [(4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9)]}","{'green square75': ['up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple square42': ['up', 'up'], 'purple triangle59': ['right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}"
55,"(4, 0)","(4, 6)",green triangle29;purple triangle32,"['purple', 'circle', 'triangle', 'green']","{(2, 9): 'green triangle29', (3, 2): 'purple triangle32', (7, 5): 'purple circle75'}",3,N,Flip,triangle,"{'green triangle29': (2, 9), 'purple triangle32': (3, 2), 'purple circle75': (7, 5)}","{'green triangle29': [(4, 6), (3, 6), (2, 6), (2, 7), (2, 8), (2, 9)], 'purple triangle32': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (3, 2)], 'purple circle75': [(4, 6), (5, 6), (6, 6), (7, 6), (7, 5)]}","{'green triangle29': ['left', 'left', 'up', 'up', 'up'], 'purple triangle32': ['down', 'down', 'down', 'down', 'left'], 'purple circle75': ['right', 'right', 'right', 'down']}","{'green triangle29': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9)], 'purple triangle32': [(4, 0), (4, 1), (4, 2), (3, 2)], 'purple circle75': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5), (7, 5)]}","{'green triangle29': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left'], 'purple triangle32': ['up', 'up', 'left'], 'purple circle75': ['up', 'up', 'up', 'up', 'up', 'right', 'right', 'right']}"
56,"(4, 0)","(4, 6)",purple circle05;orange circle52,"['square', 'orange', 'circle', 'purple']","{(0, 5): 'purple circle05', (5, 2): 'orange circle52', (3, 9): 'orange square39'}",3,N,Flip,circle,"{'purple circle05': (0, 5), 'orange circle52': (5, 2), 'orange square39': (3, 9)}","{'purple circle05': [(4, 6), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5)], 'orange circle52': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (5, 2)], 'orange square39': [(4, 6), (4, 7), (4, 8), (4, 9), (3, 9)]}","{'purple circle05': ['down', 'left', 'left', 'left', 'left'], 'orange circle52': ['down', 'down', 'down', 'down', 'right'], 'orange square39': ['up', 'up', 'up', 'left']}","{'purple circle05': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5)], 'orange circle52': [(4, 0), (5, 0), (5, 1), (5, 2)], 'orange square39': [(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9)]}","{'purple circle05': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left'], 'orange circle52': ['right', 'up', 'up'], 'orange square39': ['left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}"
57,"(4, 0)","(4, 6)",purple square74;orange square32,"['square', 'orange', 'triangle', 'purple']","{(7, 4): 'purple square74', (3, 2): 'orange square32', (2, 8): 'orange triangle28'}",3,N,Flip,square,"{'purple square74': (7, 4), 'orange square32': (3, 2), 'orange triangle28': (2, 8)}","{'purple square74': [(4, 6), (4, 5), (4, 4), (5, 4), (6, 4), (7, 4)], 'orange square32': [(4, 6), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2)], 'orange triangle28': [(4, 6), (4, 7), (4, 8), (3, 8), (2, 8)]}","{'purple square74': ['down', 'down', 'right', 'right', 'right'], 'orange square32': ['left', 'down', 'down', 'down', 'down'], 'orange triangle28': ['up', 'up', 'left', 'left']}","{'purple square74': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4), (7, 4)], 'orange square32': [(4, 0), (4, 1), (4, 2), (3, 2)], 'orange triangle28': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (3, 8), (2, 8)]}","{'purple square74': ['up', 'up', 'up', 'up', 'right', 'right', 'right'], 'orange square32': ['up', 'up', 'left'], 'orange triangle28': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left']}"
58,"(4, 0)","(4, 6)",purple triangle08;orange triangle51,"['orange', 'circle', 'triangle', 'purple']","{(0, 8): 'purple triangle08', (5, 1): 'orange triangle51', (8, 5): 'orange circle85'}",3,N,Flip,triangle,"{'purple triangle08': (0, 8), 'orange triangle51': (5, 1), 'orange circle85': (8, 5)}","{'purple triangle08': [(4, 6), (4, 7), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)], 'orange triangle51': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (4, 1), (5, 1)], 'orange circle85': [(4, 6), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)]}","{'purple triangle08': ['up', 'up', 'left', 'left', 'left', 'left'], 'orange triangle51': ['down', 'down', 'down', 'down', 'down', 'right'], 'orange circle85': ['down', 'right', 'right', 'right', 'right']}","{'purple triangle08': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)], 'orange triangle51': [(4, 0), (4, 1), (5, 1)], 'orange circle85': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)]}","{'purple triangle08': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left'], 'orange triangle51': ['up', 'right'], 'orange circle85': ['up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right']}"
59,"(4, 0)","(4, 6)",orange triangle85;green triangle32,"['square', 'orange', 'triangle', 'green']","{(8, 5): 'orange triangle85', (3, 2): 'green triangle32', (1, 7): 'green square17'}",3,N,Flip,triangle,"{'orange triangle85': (8, 5), 'green triangle32': (3, 2), 'green square17': (1, 7)}","{'orange triangle85': [(4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (8, 5)], 'green triangle32': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (3, 2)], 'green square17': [(4, 6), (3, 6), (2, 6), (1, 6), (1, 7)]}","{'orange triangle85': ['right', 'right', 'right', 'right', 'down'], 'green triangle32': ['down', 'down', 'down', 'down', 'left'], 'green square17': ['left', 'left', 'left', 'up']}","{'orange triangle85': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5)], 'green triangle32': [(4, 0), (4, 1), (4, 2), (3, 2)], 'green square17': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (3, 7), (2, 7), (1, 7)]}","{'orange triangle85': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up'], 'green triangle32': ['up', 'up', 'left'], 'green square17': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left']}"
