,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,predSignalNoActionUtility,revTargetDict,recTraj,recActSeq,sigTraj,sigActSeq
0,"(4, 0)","(4, 6)",purple circle39,"['square', 'purple', 'circle', 'orange']","{(3, 9): 'purple circle39', (2, 4): 'purple square24', (7, 6): 'orange circle76'}",3,N,PragOnly,purple,"{'purple circle39': (3, 9), 'purple square24': (2, 4), 'orange circle76': (7, 6)}","{'purple circle39': [(4, 6), (4, 7), (4, 8), (4, 9), (3, 9)], 'purple square24': [(4, 6), (4, 5), (4, 4), (3, 4), (2, 4)], 'orange circle76': [(4, 6), (5, 6), (6, 6), (7, 6)]}","{'purple circle39': ['up', 'up', 'up', 'left'], 'purple square24': ['down', 'down', 'left', 'left'], 'orange circle76': ['right', 'right', 'right']}","{'purple circle39': [(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9)], 'purple square24': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4)], 'orange circle76': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6)]}","{'purple circle39': ['left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square24': ['up', 'up', 'up', 'up', 'left', 'left'], 'orange circle76': ['right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up']}"
1,"(4, 0)","(4, 6)",orange circle86,"['square', 'circle', 'green', 'orange']","{(8, 6): 'orange circle86', (3, 9): 'green circle39', (0, 6): 'orange square06'}",3,N,PragOnly,circle,"{'orange circle86': (8, 6), 'green circle39': (3, 9), 'orange square06': (0, 6)}","{'orange circle86': [(4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'green circle39': [(4, 6), (3, 6), (3, 7), (3, 8), (3, 9)], 'orange square06': [(4, 6), (3, 6), (2, 6), (1, 6), (0, 6)]}","{'orange circle86': ['right', 'right', 'right', 'right'], 'green circle39': ['left', 'up', 'up', 'up'], 'orange square06': ['left', 'left', 'left', 'left']}","{'orange circle86': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6)], 'green circle39': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9)], 'orange square06': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)]}","{'orange circle86': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up'], 'green circle39': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left'], 'orange square06': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up']}"
2,"(4, 0)","(4, 6)",purple square88;purple square52,"['square', 'purple', 'triangle', 'orange']","{(8, 8): 'purple square88', (5, 2): 'purple square52', (1, 8): 'orange triangle18'}",3,N,UtilOnly,purple,"{'purple square88': (8, 8), 'purple square52': (5, 2), 'orange triangle18': (1, 8)}","{'purple square88': [(4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (8, 7), (8, 8)], 'purple square52': [(4, 6), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2)], 'orange triangle18': [(4, 6), (4, 7), (4, 8), (3, 8), (2, 8), (1, 8)]}","{'purple square88': ['right', 'right', 'right', 'right', 'up', 'up'], 'purple square52': ['right', 'down', 'down', 'down', 'down'], 'orange triangle18': ['up', 'up', 'left', 'left', 'left']}","{'purple square88': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8)], 'purple square52': [(4, 0), (4, 1), (4, 2), (5, 2)], 'orange triangle18': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (3, 8), (2, 8), (1, 8)]}","{'purple square88': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square52': ['up', 'up', 'right'], 'orange triangle18': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left']}"
3,"(4, 0)","(4, 6)",green triangle07;green triangle42,"['square', 'triangle', 'purple', 'green']","{(0, 7): 'green triangle07', (4, 2): 'green triangle42', (8, 7): 'purple square87'}",3,N,UtilOnly,triangle,"{'green triangle07': (0, 7), 'green triangle42': (4, 2), 'purple square87': (8, 7)}","{'green triangle07': [(4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 7)], 'green triangle42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'purple square87': [(4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)]}","{'green triangle07': ['left', 'left', 'left', 'left', 'up'], 'green triangle42': ['down', 'down', 'down', 'down'], 'purple square87': ['up', 'right', 'right', 'right', 'right']}","{'green triangle07': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7)], 'green triangle42': [(4, 0), (4, 1), (4, 2)], 'purple square87': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7)]}","{'green triangle07': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left'], 'green triangle42': ['up', 'up'], 'purple square87': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}"
4,"(4, 0)","(4, 6)",green circle15;green square42,"['square', 'circle', 'purple', 'green']","{(1, 5): 'green circle15', (4, 2): 'green square42', (7, 4): 'purple square74'}",3,N,Flip,green,"{'green circle15': (1, 5), 'green square42': (4, 2), 'purple square74': (7, 4)}","{'green circle15': [(4, 6), (4, 5), (3, 5), (2, 5), (1, 5)], 'green square42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'purple square74': [(4, 6), (4, 5), (4, 4), (5, 4), (6, 4), (7, 4)]}","{'green circle15': ['down', 'left', 'left', 'left'], 'green square42': ['down', 'down', 'down', 'down'], 'purple square74': ['down', 'down', 'right', 'right', 'right']}","{'green circle15': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5)], 'green square42': [(4, 0), (4, 1), (4, 2)], 'purple square74': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4)]}","{'green circle15': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left'], 'green square42': ['up', 'up'], 'purple square74': ['right', 'right', 'right', 'up', 'up', 'up', 'up']}"
5,"(4, 0)","(4, 6)",orange square77;green square42,"['square', 'triangle', 'green', 'orange']","{(7, 7): 'orange square77', (4, 2): 'green square42', (0, 7): 'green triangle07'}",3,N,Flip,square,"{'orange square77': (7, 7), 'green square42': (4, 2), 'green triangle07': (0, 7)}","{'orange square77': [(4, 6), (5, 6), (6, 6), (7, 6), (7, 7)], 'green square42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'green triangle07': [(4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 7)]}","{'orange square77': ['right', 'right', 'right', 'up'], 'green square42': ['down', 'down', 'down', 'down'], 'green triangle07': ['left', 'left', 'left', 'left', 'up']}","{'orange square77': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7)], 'green square42': [(4, 0), (4, 1), (4, 2)], 'green triangle07': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)]}","{'orange square77': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green square42': ['up', 'up'], 'green triangle07': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}"
6,"(4, 0)","(4, 6)",orange square42,"['square', 'triangle', 'green', 'orange']","{(8, 7): 'orange square87', (4, 2): 'orange square42', (0, 7): 'green triangle07'}",3,N,DIY,do,"{'orange square87': (8, 7), 'orange square42': (4, 2), 'green triangle07': (0, 7)}","{'orange square87': [(4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'orange square42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'green triangle07': [(4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 7)]}","{'orange square87': ['up', 'right', 'right', 'right', 'right'], 'orange square42': ['down', 'down', 'down', 'down'], 'green triangle07': ['left', 'left', 'left', 'left', 'up']}","{'orange square87': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'orange square42': [(4, 0), (4, 1), (4, 2)], 'green triangle07': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)]}","{'orange square87': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'orange square42': ['up', 'up'], 'green triangle07': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}"
7,"(4, 0)","(4, 6)",purple square42,"['square', 'purple', 'triangle', 'green']","{(7, 5): 'green square75', (4, 2): 'purple square42', (5, 9): 'purple triangle59'}",3,N,DIY,do,"{'green square75': (7, 5), 'purple square42': (4, 2), 'purple triangle59': (5, 9)}","{'green square75': [(4, 6), (5, 6), (6, 6), (7, 6), (7, 5)], 'purple square42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'purple triangle59': [(4, 6), (4, 7), (4, 8), (4, 9), (5, 9)]}","{'green square75': ['right', 'right', 'right', 'down'], 'purple square42': ['down', 'down', 'down', 'down'], 'purple triangle59': ['up', 'up', 'up', 'right']}","{'green square75': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5), (7, 5)], 'purple square42': [(4, 0), (4, 1), (4, 2)], 'purple triangle59': [(4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9)]}","{'green square75': ['up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple square42': ['up', 'up'], 'purple triangle59': ['right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}"
