,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,predSignalNoActionUtility,rotation,revTargetDict,recTraj,recActSeq,sigTraj,sigActSeq
0,"(4, 0)","(4, 6)",purple circle39,"['square', 'purple', 'circle', 'orange']","{(3, 9): 'purple circle39', (2, 4): 'purple square24', (7, 6): 'orange circle76'}",3,N,PragOnly,purple,0,"{'purple circle39': (3, 9), 'purple square24': (2, 4), 'orange circle76': (7, 6)}","{'purple circle39': [(4, 6), (3, 6), (3, 7), (3, 8), (3, 9)], 'purple square24': [(4, 6), (3, 6), (2, 6), (2, 5), (2, 4)], 'orange circle76': [(4, 6), (5, 6), (6, 6), (7, 6)]}","{'purple circle39': ['left', 'up', 'up', 'up'], 'purple square24': ['left', 'left', 'down', 'down'], 'orange circle76': ['right', 'right', 'right']}","{'purple circle39': [(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9)], 'purple square24': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4)], 'orange circle76': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6)]}","{'purple circle39': ['left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square24': ['up', 'up', 'up', 'up', 'left', 'left'], 'orange circle76': ['right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up']}"
1,"(0, 5)","(6, 5)",orange circle61,"['square', 'circle', 'green', 'orange']","{(6, 1): 'orange circle61', (9, 6): 'green circle96', (6, 9): 'orange square69'}",3,N,PragOnly,circle,90,"{'orange circle61': (6, 1), 'green circle96': (9, 6), 'orange square69': (6, 9)}","{'orange circle61': [(6, 5), (6, 4), (6, 3), (6, 2), (6, 1)], 'green circle96': [(6, 5), (6, 6), (7, 6), (8, 6), (9, 6)], 'orange square69': [(6, 5), (6, 6), (6, 7), (6, 8), (6, 9)]}","{'orange circle61': ['down', 'down', 'down', 'down'], 'green circle96': ['up', 'right', 'right', 'right'], 'orange square69': ['up', 'up', 'up', 'up']}","{'orange circle61': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (6, 4), (6, 3), (6, 2), (6, 1)], 'green circle96': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (9, 6)], 'orange square69': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9)]}","{'orange circle61': ['right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down'], 'green circle96': ['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'up'], 'orange square69': ['right', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'up']}"
2,"(5, 9)","(5, 3)",purple square11;purple square47,"['square', 'purple', 'triangle', 'orange']","{(1, 1): 'purple square11', (4, 7): 'purple square47', (8, 1): 'orange triangle81'}",3,N,UtilOnly,purple,180,"{'purple square11': (1, 1), 'purple square47': (4, 7), 'orange triangle81': (8, 1)}","{'purple square11': [(5, 3), (5, 2), (5, 1), (4, 1), (3, 1), (2, 1), (1, 1)], 'purple square47': [(5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (4, 7)], 'orange triangle81': [(5, 3), (5, 2), (5, 1), (6, 1), (7, 1), (8, 1)]}","{'purple square11': ['down', 'down', 'left', 'left', 'left', 'left'], 'purple square47': ['up', 'up', 'up', 'up', 'left'], 'orange triangle81': ['down', 'down', 'right', 'right', 'right']}","{'purple square11': [(5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1)], 'purple square47': [(5, 9), (5, 8), (5, 7), (4, 7)], 'orange triangle81': [(5, 9), (6, 9), (7, 9), (8, 9), (8, 8), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (8, 2), (8, 1)]}","{'purple square11': ['left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'purple square47': ['down', 'down', 'left'], 'orange triangle81': ['right', 'right', 'right', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']}"
3,"(9, 4)","(3, 4)",green triangle20;green triangle74,"['square', 'triangle', 'purple', 'green']","{(2, 0): 'green triangle20', (7, 4): 'green triangle74', (2, 8): 'purple square28'}",3,N,UtilOnly,triangle,270,"{'green triangle20': (2, 0), 'green triangle74': (7, 4), 'purple square28': (2, 8)}","{'green triangle20': [(3, 4), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0)], 'green triangle74': [(3, 4), (4, 4), (5, 4), (6, 4), (7, 4)], 'purple square28': [(3, 4), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8)]}","{'green triangle20': ['left', 'down', 'down', 'down', 'down'], 'green triangle74': ['right', 'right', 'right', 'right'], 'purple square28': ['left', 'up', 'up', 'up', 'up']}","{'green triangle20': [(9, 4), (9, 3), (9, 2), (9, 1), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), (4, 0), (3, 0), (2, 0)], 'green triangle74': [(9, 4), (8, 4), (7, 4)], 'purple square28': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (4, 8), (3, 8), (2, 8)]}","{'green triangle20': ['down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'left', 'left', 'left'], 'green triangle74': ['left', 'left'], 'purple square28': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'left', 'left', 'left']}"
4,"(4, 0)","(4, 6)",green circle15;green square42,"['square', 'circle', 'purple', 'green']","{(1, 5): 'green circle15', (4, 2): 'green square42', (7, 4): 'purple square74'}",3,N,Flip,green,0,"{'green circle15': (1, 5), 'green square42': (4, 2), 'purple square74': (7, 4)}","{'green circle15': [(4, 6), (3, 6), (2, 6), (1, 6), (1, 5)], 'green square42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)], 'purple square74': [(4, 6), (5, 6), (6, 6), (7, 6), (7, 5), (7, 4)]}","{'green circle15': ['left', 'left', 'left', 'down'], 'green square42': ['down', 'down', 'down', 'down'], 'purple square74': ['right', 'right', 'right', 'down', 'down']}","{'green circle15': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5)], 'green square42': [(4, 0), (4, 1), (4, 2)], 'purple square74': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4)]}","{'green circle15': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left'], 'green square42': ['up', 'up'], 'purple square74': ['right', 'right', 'right', 'up', 'up', 'up', 'up']}"
5,"(0, 5)","(6, 5)",orange square72;green square25,"['square', 'triangle', 'green', 'orange']","{(7, 2): 'orange square72', (2, 5): 'green square25', (7, 9): 'green triangle79'}",3,N,Flip,square,90,"{'orange square72': (7, 2), 'green square25': (2, 5), 'green triangle79': (7, 9)}","{'orange square72': [(6, 5), (7, 5), (7, 4), (7, 3), (7, 2)], 'green square25': [(6, 5), (5, 5), (4, 5), (3, 5), (2, 5)], 'green triangle79': [(6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (7, 9)]}","{'orange square72': ['right', 'down', 'down', 'down'], 'green square25': ['left', 'left', 'left', 'left'], 'green triangle79': ['up', 'up', 'up', 'up', 'right']}","{'orange square72': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (7, 4), (7, 3), (7, 2)], 'green square25': [(0, 5), (1, 5), (2, 5)], 'green triangle79': [(0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9)]}","{'orange square72': ['right', 'right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down'], 'green square25': ['right', 'right'], 'green triangle79': ['up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'right']}"
6,"(5, 9)","(5, 3)",orange square57,"['square', 'triangle', 'green', 'orange']","{(1, 2): 'orange square12', (5, 7): 'orange square57', (9, 2): 'green triangle92'}",3,N,DIY,do,180,"{'orange square12': (1, 2), 'orange square57': (5, 7), 'green triangle92': (9, 2)}","{'orange square12': [(5, 3), (5, 2), (4, 2), (3, 2), (2, 2), (1, 2)], 'orange square57': [(5, 3), (5, 4), (5, 5), (5, 6), (5, 7)], 'green triangle92': [(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 2)]}","{'orange square12': ['down', 'left', 'left', 'left', 'left'], 'orange square57': ['up', 'up', 'up', 'up'], 'green triangle92': ['right', 'right', 'right', 'right', 'down']}","{'orange square12': [(5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)], 'orange square57': [(5, 9), (5, 8), (5, 7)], 'green triangle92': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 3), (9, 2)]}","{'orange square12': ['left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'orange square57': ['down', 'down'], 'green triangle92': ['down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down']}"
7,"(9, 4)","(3, 4)",purple square74,"['square', 'purple', 'triangle', 'green']","{(4, 7): 'green square47', (7, 4): 'purple square74', (0, 5): 'purple triangle05'}",3,N,DIY,do,270,"{'green square47': (4, 7), 'purple square74': (7, 4), 'purple triangle05': (0, 5)}","{'green square47': [(3, 4), (4, 4), (4, 5), (4, 6), (4, 7)], 'purple square74': [(3, 4), (4, 4), (5, 4), (6, 4), (7, 4)], 'purple triangle05': [(3, 4), (3, 5), (2, 5), (1, 5), (0, 5)]}","{'green square47': ['right', 'up', 'up', 'up'], 'purple square74': ['right', 'right', 'right', 'right'], 'purple triangle05': ['up', 'left', 'left', 'left']}","{'green square47': [(9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7)], 'purple square74': [(9, 4), (8, 4), (7, 4)], 'purple triangle05': [(9, 4), (9, 5), (8, 5), (7, 5), (6, 5), (5, 5), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5)]}","{'green square47': ['up', 'up', 'up', 'left', 'left', 'left', 'left', 'left'], 'purple square74': ['left', 'left'], 'purple triangle05': ['up', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']}"
