,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,predSignalNoActionUtility,rotation,revTargetDict,recTraj,recActSeq,sigTraj,sigActSeq
54,"(5, 9)","(5, 3)",green square24;purple square57,"['square', 'triangle', 'purple', 'green']","{(2, 4): 'green square24', (5, 7): 'purple square57', (4, 0): 'purple triangle40'}",3,N,Flip,square,180,"{'green square24': (2, 4), 'purple square57': (5, 7), 'purple triangle40': (4, 0)}","{'green square24': [(5, 3), (4, 3), (3, 3), (2, 3), (2, 4)], 'purple square57': [(5, 3), (5, 4), (5, 5), (5, 6), (5, 7)], 'purple triangle40': [(5, 3), (4, 3), (4, 2), (4, 1), (4, 0)]}","{'green square24': ['left', 'left', 'left', 'up'], 'purple square57': ['up', 'up', 'up', 'up'], 'purple triangle40': ['left', 'down', 'down', 'down']}","{'green square24': [(5, 9), (4, 9), (3, 9), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4)], 'purple square57': [(5, 9), (5, 8), (5, 7)], 'purple triangle40': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1), (5, 0), (4, 0)]}","{'green square24': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down'], 'purple square57': ['down', 'down'], 'purple triangle40': ['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'left']}"
55,"(9, 4)","(3, 4)",green triangle02;purple triangle73,"['purple', 'circle', 'triangle', 'green']","{(0, 2): 'green triangle02', (7, 3): 'purple triangle73', (4, 7): 'purple circle47'}",3,N,Flip,triangle,270,"{'green triangle02': (0, 2), 'purple triangle73': (7, 3), 'purple circle47': (4, 7)}","{'green triangle02': [(3, 4), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2)], 'purple triangle73': [(3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (7, 3)], 'purple circle47': [(3, 4), (4, 4), (4, 5), (4, 6), (4, 7)]}","{'green triangle02': ['left', 'left', 'left', 'down', 'down'], 'purple triangle73': ['right', 'right', 'right', 'right', 'down'], 'purple circle47': ['right', 'up', 'up', 'up']}","{'green triangle02': [(9, 4), (9, 3), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2), (3, 2), (2, 2), (1, 2), (0, 2)], 'purple triangle73': [(9, 4), (8, 4), (7, 4), (7, 3)], 'purple circle47': [(9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7)]}","{'green triangle02': ['down', 'down', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left'], 'purple triangle73': ['left', 'left', 'down'], 'purple circle47': ['up', 'up', 'up', 'left', 'left', 'left', 'left', 'left']}"
56,"(4, 0)","(4, 6)",purple circle05;orange circle52,"['square', 'orange', 'circle', 'purple']","{(0, 5): 'purple circle05', (5, 2): 'orange circle52', (3, 9): 'orange square39'}",3,N,Flip,circle,0,"{'purple circle05': (0, 5), 'orange circle52': (5, 2), 'orange square39': (3, 9)}","{'purple circle05': [(4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 5)], 'orange circle52': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (5, 2)], 'orange square39': [(4, 6), (4, 7), (4, 8), (4, 9), (3, 9)]}","{'purple circle05': ['left', 'left', 'left', 'left', 'down'], 'orange circle52': ['down', 'down', 'down', 'down', 'right'], 'orange square39': ['up', 'up', 'up', 'left']}","{'purple circle05': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5)], 'orange circle52': [(4, 0), (5, 0), (5, 1), (5, 2)], 'orange square39': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9)]}","{'purple circle05': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left'], 'orange circle52': ['right', 'up', 'up'], 'orange square39': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left']}"
57,"(0, 5)","(6, 5)",purple square42;orange square26,"['square', 'orange', 'triangle', 'purple']","{(4, 2): 'purple square42', (2, 6): 'orange square26', (8, 7): 'orange triangle87'}",3,N,Flip,square,90,"{'purple square42': (4, 2), 'orange square26': (2, 6), 'orange triangle87': (8, 7)}","{'purple square42': [(6, 5), (5, 5), (4, 5), (4, 4), (4, 3), (4, 2)], 'orange square26': [(6, 5), (6, 6), (5, 6), (4, 6), (3, 6), (2, 6)], 'orange triangle87': [(6, 5), (7, 5), (8, 5), (8, 6), (8, 7)]}","{'purple square42': ['left', 'left', 'down', 'down', 'down'], 'orange square26': ['up', 'left', 'left', 'left', 'left'], 'orange triangle87': ['right', 'right', 'up', 'up']}","{'purple square42': [(0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (4, 3), (4, 2)], 'orange square26': [(0, 5), (0, 6), (1, 6), (2, 6)], 'orange triangle87': [(0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)]}","{'purple square42': ['down', 'right', 'right', 'right', 'right', 'down', 'down'], 'orange square26': ['up', 'right', 'right'], 'orange triangle87': ['up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']}"
58,"(5, 9)","(5, 3)",purple triangle91;orange triangle48,"['orange', 'circle', 'triangle', 'purple']","{(9, 1): 'purple triangle91', (4, 8): 'orange triangle48', (1, 4): 'orange circle14'}",3,N,Flip,triangle,180,"{'purple triangle91': (9, 1), 'orange triangle48': (4, 8), 'orange circle14': (1, 4)}","{'purple triangle91': [(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 2), (9, 1)], 'orange triangle48': [(5, 3), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)], 'orange circle14': [(5, 3), (5, 4), (4, 4), (3, 4), (2, 4), (1, 4)]}","{'purple triangle91': ['right', 'right', 'right', 'right', 'down', 'down'], 'orange triangle48': ['left', 'up', 'up', 'up', 'up', 'up'], 'orange circle14': ['up', 'left', 'left', 'left', 'left']}","{'purple triangle91': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 2), (9, 1)], 'orange triangle48': [(5, 9), (4, 9), (4, 8)], 'orange circle14': [(5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (1, 6), (1, 5), (1, 4)]}","{'purple triangle91': ['down', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down'], 'orange triangle48': ['left', 'down'], 'orange circle14': ['left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down']}"
59,"(9, 4)","(3, 4)",orange triangle48;green triangle73,"['square', 'orange', 'triangle', 'green']","{(4, 8): 'orange triangle48', (7, 3): 'green triangle73', (2, 1): 'green square21'}",3,N,Flip,triangle,270,"{'orange triangle48': (4, 8), 'green triangle73': (7, 3), 'green square21': (2, 1)}","{'orange triangle48': [(3, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)], 'green triangle73': [(3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (7, 3)], 'green square21': [(3, 4), (3, 3), (3, 2), (3, 1), (2, 1)]}","{'orange triangle48': ['right', 'up', 'up', 'up', 'up'], 'green triangle73': ['right', 'right', 'right', 'right', 'down'], 'green square21': ['down', 'down', 'down', 'left']}","{'orange triangle48': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)], 'green triangle73': [(9, 4), (8, 4), (7, 4), (7, 3)], 'green square21': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (2, 3), (2, 2), (2, 1)]}","{'orange triangle48': ['left', 'left', 'left', 'left', 'left', 'up', 'up', 'up', 'up'], 'green triangle73': ['left', 'left', 'down'], 'green square21': ['left', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'down', 'down']}"
60,"(4, 0)","(4, 6)",purple square42,"['square', 'orange', 'triangle', 'purple']","{(7, 7): 'orange square77', (0, 4): 'purple triangle04', (4, 2): 'purple square42'}",3,N,DIY,do,0,"{'orange square77': (7, 7), 'purple triangle04': (0, 4), 'purple square42': (4, 2)}","{'orange square77': [(4, 6), (5, 6), (6, 6), (7, 6), (7, 7)], 'purple triangle04': [(4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 5), (0, 4)], 'purple square42': [(4, 6), (4, 5), (4, 4), (4, 3), (4, 2)]}","{'orange square77': ['right', 'right', 'right', 'up'], 'purple triangle04': ['left', 'left', 'left', 'left', 'down', 'down'], 'purple square42': ['down', 'down', 'down', 'down']}","{'orange square77': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7)], 'purple triangle04': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (1, 4), (0, 4)], 'purple square42': [(4, 0), (4, 1), (4, 2)]}","{'orange square77': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple triangle04': ['left', 'left', 'up', 'up', 'up', 'up', 'left', 'left'], 'purple square42': ['up', 'up']}"
61,"(0, 5)","(6, 5)",purple triangle14,"['orange', 'circle', 'triangle', 'purple']","{(9, 4): 'orange triangle94', (4, 6): 'purple circle46', (1, 4): 'purple triangle14'}",3,N,DIY,do,90,"{'orange triangle94': (9, 4), 'purple circle46': (4, 6), 'purple triangle14': (1, 4)}","{'orange triangle94': [(6, 5), (7, 5), (8, 5), (9, 5), (9, 4)], 'purple circle46': [(6, 5), (5, 5), (4, 5), (4, 6)], 'purple triangle14': [(6, 5), (5, 5), (4, 5), (3, 5), (2, 5), (1, 5), (1, 4)]}","{'orange triangle94': ['right', 'right', 'right', 'down'], 'purple circle46': ['left', 'left', 'up'], 'purple triangle14': ['left', 'left', 'left', 'left', 'left', 'down']}","{'orange triangle94': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (9, 4)], 'purple circle46': [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (4, 6)], 'purple triangle14': [(0, 5), (0, 4), (1, 4)]}","{'orange triangle94': ['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'down'], 'purple circle46': ['right', 'right', 'right', 'right', 'up'], 'purple triangle14': ['down', 'right']}"
62,"(5, 9)","(5, 3)",orange circle78,"['square', 'orange', 'circle', 'green']","{(1, 2): 'orange square12', (3, 5): 'green circle35', (7, 8): 'orange circle78'}",3,N,DIY,do,180,"{'orange square12': (1, 2), 'green circle35': (3, 5), 'orange circle78': (7, 8)}","{'orange square12': [(5, 3), (4, 3), (3, 3), (2, 3), (1, 3), (1, 2)], 'green circle35': [(5, 3), (4, 3), (3, 3), (3, 4), (3, 5)], 'orange circle78': [(5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8)]}","{'orange square12': ['left', 'left', 'left', 'left', 'down'], 'green circle35': ['left', 'left', 'up', 'up'], 'orange circle78': ['up', 'up', 'up', 'up', 'up', 'right', 'right']}","{'orange square12': [(5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (4, 2), (3, 2), (2, 2), (1, 2)], 'green circle35': [(5, 9), (4, 9), (3, 9), (3, 8), (3, 7), (3, 6), (3, 5)], 'orange circle78': [(5, 9), (6, 9), (7, 9), (7, 8)]}","{'orange square12': ['down', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'left'], 'green circle35': ['left', 'left', 'down', 'down', 'down', 'down'], 'orange circle78': ['right', 'right', 'down']}"
63,"(9, 4)","(3, 4)",green square75,"['square', 'purple', 'triangle', 'green']","{(1, 2): 'green triangle12', (4, 8): 'purple square48', (7, 5): 'green square75'}",3,N,DIY,do,270,"{'green triangle12': (1, 2), 'purple square48': (4, 8), 'green square75': (7, 5)}","{'green triangle12': [(3, 4), (3, 3), (3, 2), (2, 2), (1, 2)], 'purple square48': [(3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (4, 8)], 'green square75': [(3, 4), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5)]}","{'green triangle12': ['down', 'down', 'left', 'left'], 'purple square48': ['up', 'up', 'up', 'up', 'right'], 'green square75': ['up', 'right', 'right', 'right', 'right']}","{'green triangle12': [(9, 4), (9, 3), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2), (3, 2), (2, 2), (1, 2)], 'purple square48': [(9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)], 'green square75': [(9, 4), (8, 4), (7, 4), (7, 5)]}","{'green triangle12': ['down', 'down', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left'], 'purple square48': ['left', 'left', 'left', 'left', 'left', 'up', 'up', 'up', 'up'], 'green square75': ['left', 'left', 'up']}"
