,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,propRelevantSignalsInVocab,receiverIntentionDict,revTargetDict
350,"(4, 0)","(4, 7)",purple triangle,"['purple', 'triangle', 'circle']","{(1, 5): 'purple circle', (3, 9): 'purple triangle'}",2,1.0,"{'purple': 'purple circle', 'triangle': 'purple triangle', 'circle': 'purple circle'}","{'purple triangle': (3, 9), 'purple circle': (1, 5)}"
823,"(4, 0)","(4, 7)",red square,"['purple', 'square', 'triangle', 'green', 'red']","{(5, 7): 'green square', (2, 4): 'red square', (1, 1): 'purple triangle'}",3,1.0,"{'green': 'green square', 'purple': 'purple triangle', 'red': 'red square', 'square': 'red square', 'triangle': 'purple triangle'}","{'purple triangle': (1, 1), 'green square': (5, 7), 'red square': (2, 4)}"
113,"(4, 0)","(4, 7)",green triangle,"['triangle', 'circle', 'square', 'red', 'green']","{(8, 6): 'green triangle', (6, 9): 'red triangle', (6, 2): 'green square', (6, 5): 'green circle'}",4,1.0,"{'green': 'green triangle', 'circle': 'green circle', 'red': 'red triangle', 'square': 'green square', 'triangle': 'green triangle'}","{'green circle': (6, 5), 'red triangle': (6, 9), 'green square': (6, 2), 'green triangle': (8, 6)}"
3812,"(4, 0)","(4, 7)",red square,"['triangle', 'purple', 'red', 'square', 'green', 'circle']","{(4, 2): 'red square', (0, 4): 'purple triangle', (0, 5): 'purple square', (0, 7): 'green triangle', (4, 8): 'green circle'}",5,1.0,"{'purple': 'purple triangle', 'red': 'red square', 'square': 'purple square', 'green': 'green triangle', 'triangle': 'purple triangle', 'circle': 'green circle'}","{'green circle': (4, 8), 'purple triangle': (0, 4), 'green triangle': (0, 7), 'purple square': (0, 5), 'red square': (4, 2)}"
166,"(4, 0)","(4, 7)",purple triangle,"['green', 'red', 'triangle', 'purple', 'square', 'circle']","{(6, 7): 'purple square', (2, 9): 'red circle', (4, 2): 'green square', (7, 9): 'purple circle', (2, 1): 'green circle', (3, 5): 'purple triangle'}",6,1.0,"{'purple': 'purple circle', 'red': 'red circle', 'square': 'purple square', 'green': 'green square', 'triangle': 'purple triangle', 'circle': 'purple circle'}","{'green circle': (2, 1), 'purple square': (6, 7), 'purple circle': (7, 9), 'green square': (4, 2), 'purple triangle': (3, 5), 'red circle': (2, 9)}"
491,"(4, 0)","(4, 7)",green square,"['triangle', 'square', 'circle', 'green', 'red', 'purple']","{(3, 3): 'red square', (8, 7): 'red circle', (7, 1): 'green circle', (4, 5): 'red triangle', (7, 6): 'purple triangle', (5, 7): 'green square', (3, 4): 'purple square'}",7,1.0,"{'circle': 'red circle', 'red': 'red triangle', 'square': 'purple square', 'purple': 'purple triangle', 'green': 'green square', 'triangle': 'purple triangle'}","{'green circle': (7, 1), 'red triangle': (4, 5), 'purple triangle': (7, 6), 'green square': (5, 7), 'purple square': (3, 4), 'red circle': (8, 7), 'red square': (3, 3)}"
1702,"(4, 0)","(4, 7)",green triangle,"['triangle', 'red', 'purple', 'green', 'circle', 'square']","{(8, 9): 'purple circle', (1, 5): 'green triangle', (1, 4): 'red square', (2, 1): 'purple triangle', (3, 0): 'purple square', (0, 8): 'red triangle', (2, 4): 'red circle', (6, 5): 'green circle'}",8,1.0,"{'purple': 'purple circle', 'red': 'red circle', 'square': 'red square', 'green': 'green circle', 'triangle': 'red triangle', 'circle': 'red circle'}","{'green circle': (6, 5), 'green triangle': (1, 5), 'red triangle': (0, 8), 'purple triangle': (2, 1), 'purple circle': (8, 9), 'purple square': (3, 0), 'red circle': (2, 4), 'red square': (1, 4)}"
3996,"(4, 0)","(4, 7)",green square,"['purple', 'square', 'red', 'circle', 'triangle', 'green']","{(0, 9): 'purple square', (5, 0): 'green triangle', (2, 2): 'purple triangle', (4, 5): 'green square', (3, 7): 'red circle', (1, 0): 'green circle', (5, 2): 'purple circle', (7, 7): 'red square', (4, 2): 'red triangle'}",9,1.0,"{'purple': 'purple square', 'red': 'red square', 'square': 'green triangle', 'green': 'green square', 'circle': 'red circle', 'triangle': 'purple triangle'}","{'green circle': (1, 0), 'green triangle': (5, 0), 'red triangle': (4, 2), 'purple square': (0, 9), 'purple circle': (5, 2), 'green square': (4, 5), 'purple triangle': (2, 2), 'red circle': (3, 7), 'red square': (7, 7)}"
