,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,propRelevantSignalsInVocab,trialStrategy,receiverIntentionDict,revTargetDict
596,"(4, 0)","(4, 7)",purple circle,"['green', 'square', 'purple', 'triangle', 'red', 'circle']","{(6, 4): 'red square', (6, 9): 'purple circle', (0, 5): 'green triangle', (8, 2): 'purple square', (2, 0): 'red triangle', (3, 0): 'purple triangle', (4, 8): 'green circle', (8, 5): 'green square'}",8,1.0,communicate,"{'circle': 'green circle', 'triangle': 'green triangle', 'red': 'red square', 'green': 'green square', 'square': 'green square', 'purple': 'purple circle'}","{'purple circle': (6, 9), 'purple triangle': (3, 0), 'green circle': (4, 8), 'purple square': (8, 2), 'green triangle': (0, 5), 'green square': (8, 5), 'red triangle': (2, 0), 'red square': (6, 4)}"
45,"(4, 0)","(4, 7)",purple circle,"['purple', 'red', 'circle', 'square', 'triangle', 'green']","{(1, 8): 'purple circle', (5, 2): 'red circle', (6, 0): 'green square', (0, 7): 'green triangle', (2, 4): 'red square'}",5,1.0,communicate,"{'circle': 'purple circle', 'green': 'green triangle', 'red': 'red square', 'triangle': 'green triangle', 'square': 'red square', 'purple': 'purple circle'}","{'red square': (2, 4), 'green square': (6, 0), 'purple circle': (1, 8), 'green triangle': (0, 7), 'red circle': (5, 2)}"
11,"(4, 0)","(4, 7)",purple triangle,"['triangle', 'green', 'purple', 'square']","{(2, 8): 'purple triangle', (6, 8): 'green square'}",2,1.0,communicate,"{'triangle': 'purple triangle', 'green': 'green square', 'square': 'green square', 'purple': 'purple triangle'}","{'green square': (6, 8), 'purple triangle': (2, 8)}"
13,"(4, 0)","(4, 7)",green circle,"['triangle', 'circle', 'green', 'purple', 'square', 'red']","{(7, 4): 'red circle', (7, 3): 'red triangle', (2, 6): 'green square', (1, 6): 'green triangle', (0, 5): 'purple square', (6, 1): 'purple triangle', (7, 9): 'green circle', (7, 7): 'red square', (0, 2): 'purple circle'}",9,1.0,quit,"{'circle': 'green circle', 'green': 'green circle', 'red': 'red square', 'triangle': 'green triangle', 'square': 'green square', 'purple': 'purple square'}","{'red square': (7, 7), 'purple circle': (0, 2), 'purple triangle': (6, 1), 'green circle': (7, 9), 'purple square': (0, 5), 'green triangle': (1, 6), 'green square': (2, 6), 'red triangle': (7, 3), 'red circle': (7, 4)}"
388,"(4, 0)","(4, 7)",purple square,"['red', 'purple', 'square', 'circle', 'triangle', 'green']","{(0, 1): 'green circle', (1, 8): 'red triangle', (6, 7): 'purple circle', (8, 7): 'purple triangle', (4, 3): 'green square', (1, 7): 'red square', (8, 6): 'purple square'}",7,1.0,quit,"{'circle': 'purple circle', 'green': 'green square', 'red': 'red square', 'triangle': 'purple triangle', 'square': 'purple square', 'purple': 'purple square'}","{'purple circle': (6, 7), 'purple triangle': (8, 7), 'green circle': (0, 1), 'purple square': (8, 6), 'green square': (4, 3), 'red triangle': (1, 8), 'red square': (1, 7)}"
2884,"(4, 0)","(4, 7)",purple square,"['triangle', 'green', 'red', 'purple', 'circle', 'square']","{(1, 8): 'purple square', (8, 8): 'red square', (6, 7): 'green triangle', (5, 8): 'purple circle', (0, 9): 'green square', (2, 6): 'purple triangle'}",6,1.0,quit,"{'circle': 'purple circle', 'green': 'green square', 'red': 'red square', 'triangle': 'purple triangle', 'square': 'purple square', 'purple': 'purple square'}","{'purple circle': (5, 8), 'purple triangle': (2, 6), 'purple square': (1, 8), 'green triangle': (6, 7), 'green square': (0, 9), 'red square': (8, 8)}"
1,"(4, 0)","(4, 7)",red triangle,"['square', 'red', 'purple', 'circle', 'triangle']","{(2, 3): 'red triangle', (3, 1): 'purple triangle', (5, 2): 'red square', (2, 4): 'purple circle'}",4,1.0,do,"{'circle': 'purple circle', 'triangle': 'red triangle', 'square': 'red square', 'purple': 'purple circle', 'red': 'red triangle'}","{'purple circle': (2, 4), 'red triangle': (2, 3), 'purple triangle': (3, 1), 'red square': (5, 2)}"
9,"(4, 0)","(4, 7)",red circle,"['green', 'square', 'circle', 'triangle', 'red']","{(0, 9): 'red triangle', (2, 5): 'green square', (1, 3): 'red square', (8, 5): 'green triangle', (0, 3): 'red circle'}",5,1.0,do,"{'green': 'green triangle', 'circle': 'red circle', 'triangle': 'green triangle', 'square': 'green square', 'red': 'red triangle'}","{'red circle': (0, 3), 'green triangle': (8, 5), 'green square': (2, 5), 'red triangle': (0, 9), 'red square': (1, 3)}"
10,"(4, 0)","(4, 7)",purple triangle,"['square', 'green', 'purple', 'circle', 'red', 'triangle']","{(7, 3): 'green triangle', (6, 7): 'red square', (4, 6): 'purple circle', (3, 7): 'red triangle', (8, 6): 'red circle', (1, 1): 'purple triangle', (6, 5): 'green square', (1, 9): 'green circle'}",8,1.0,do,"{'circle': 'green circle', 'triangle': 'red triangle', 'red': 'red circle', 'green': 'green circle', 'square': 'green square', 'purple': 'purple circle'}","{'green square': (6, 5), 'purple circle': (4, 6), 'purple triangle': (1, 1), 'green circle': (1, 9), 'green triangle': (7, 3), 'red square': (6, 7), 'red triangle': (3, 7), 'red circle': (8, 6)}"
