decisionTime;actionTime;feedbackTime;
6.794;5.508;1576.0159999999998;
5.952;3.529;7.5329999999999995;
11.418;3.1910000000000007;13.415999999999999;
13.545;6.284999999999998;136.369;
17.671;2.0700000000000003;21.261;
23.806;1.1709999999999994;27.438000000000002;
5.3;2.0789999999999997;6.707;
7.345;2.7380000000000004;9.457;
47.817;2.509999999999998;51.153;
5.514;2.027;7.345999999999999;
8.266;3.5920000000000005;14.17;
6.01;3.5299999999999994;8.826;
7.847;3.213;10.492999999999999;
5.877;4.242999999999999;8.201;
22.079;2.0509999999999984;24.182000000000002;
5.815;1.138;12.922;
11.462;3.1910000000000007;18.64;
15.836;3.5989999999999984;18.542;
8.797;1.1579999999999995;13.029;
8.16;3.551;23.348999999999997
