,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,receiverIntentionDict,revTargetDict,barrierDict,recTraj,recActSeq,sigTraj,sigActSeq
17,"(4, 0)","(4, 7)",green square,"['circle', 'square', 'triangle', 'green', 'purple', 'red']","{(2, 1): 'red circle', (6, 9): 'green square', (2, 6): 'purple square', (1, 7): 'purple triangle', (5, 4): 'green triangle'}",5,S,"{'circle': 'red circle', 'square': 'green square', 'triangle': 'green triangle', 'green': 'green square', 'purple': 'purple square', 'red': 'red circle'}","{'red circle': (2, 1), 'green square': (6, 9), 'purple square': (2, 6), 'purple triangle': (1, 7), 'green triangle': (5, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'red circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1)], 'green square': [(4, 7), (5, 7), (6, 7), (6, 8), (6, 9)], 'purple square': [(4, 7), (4, 6), (3, 6), (2, 6)], 'purple triangle': [(4, 7), (3, 7), (2, 7), (1, 7)], 'green triangle': [(4, 7), (5, 7), (5, 6), (5, 5), (5, 4)]}","{'red circle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down'], 'green square': ['right', 'right', 'up', 'up'], 'purple square': ['down', 'left', 'left'], 'purple triangle': ['left', 'left', 'left'], 'green triangle': ['right', 'down', 'down', 'down']}","{'red circle': [(4, 0), (3, 0), (2, 0), (2, 1)], 'green square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9)], 'purple square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (1, 7)], 'green triangle': [(4, 0), (3, 0), (3, 1), (3, 2), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4)]}","{'red circle': ['left', 'left', 'up'], 'green square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'purple square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up'], 'purple triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'left'], 'green triangle': ['left', 'up', 'up', 'left', 'up', 'up', 'right', 'right', 'right']}"
18,"(4, 0)","(4, 7)",red circle,"['square', 'circle', 'triangle', 'red', 'green', 'purple']","{(7, 1): 'purple square', (7, 9): 'red circle', (5, 7): 'green circle', (0, 6): 'green triangle', (4, 4): 'red triangle'}",5,R,"{'square': 'purple square', 'circle': 'green circle', 'triangle': 'green triangle', 'red': 'red circle', 'green': 'green circle', 'purple': 'purple square'}","{'purple square': (7, 1), 'red circle': (7, 9), 'green circle': (5, 7), 'green triangle': (0, 6), 'red triangle': (4, 4)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 1)], 'red circle': [(4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9)], 'green circle': [(4, 7), (5, 7)], 'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6)], 'red triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (3, 4), (4, 4)]}","{'purple square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down'], 'red circle': ['up', 'up', 'right', 'right', 'right'], 'green circle': ['right'], 'green triangle': ['left', 'left', 'left', 'left', 'down'], 'red triangle': ['left', 'left', 'down', 'down', 'down', 'right', 'right']}","{'purple square': [(4, 0), (4, 1), (5, 1), (6, 1), (7, 1)], 'red circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9)], 'green circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)], 'green triangle': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)], 'red triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]}","{'purple square': ['up', 'right', 'right', 'right'], 'red circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'green circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green triangle': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up'], 'red triangle': ['up', 'up', 'up', 'up']}"
19,"(4, 0)","(4, 7)",red square,"['circle', 'square', 'triangle', 'red', 'green', 'purple']","{(7, 1): 'purple circle', (7, 9): 'red square', (5, 7): 'green square', (0, 6): 'green triangle', (4, 4): 'red triangle'}",5,S,"{'circle': 'purple circle', 'square': 'red square', 'triangle': 'red triangle', 'red': 'red triangle', 'green': 'green triangle', 'purple': 'purple circle'}","{'purple circle': (7, 1), 'red square': (7, 9), 'green square': (5, 7), 'green triangle': (0, 6), 'red triangle': (4, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 1)], 'red square': [(4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9)], 'green square': [(4, 7), (5, 7)], 'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6)], 'red triangle': [(4, 7), (4, 6), (4, 5), (4, 4)]}","{'purple circle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down'], 'red square': ['up', 'up', 'right', 'right', 'right'], 'green square': ['right'], 'green triangle': ['left', 'left', 'left', 'left', 'down'], 'red triangle': ['down', 'down', 'down']}","{'purple circle': [(4, 0), (4, 1), (5, 1), (6, 1), (7, 1)], 'red square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9)], 'green square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)], 'green triangle': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)], 'red triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4)]}","{'purple circle': ['up', 'right', 'right', 'right'], 'red square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'green square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green triangle': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up'], 'red triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'right', 'right']}"
20,"(4, 0)","(4, 7)",red circle,"['square', 'circle', 'purple', 'red', 'green']","{(3, 7): 'purple square', (0, 9): 'red square', (3, 9): 'green circle', (3, 8): 'red circle', (6, 5): 'purple circle'}",5,R,"{'square': 'red square', 'circle': 'red circle', 'purple': 'purple square', 'red': 'red square', 'green': 'green circle'}","{'purple square': (3, 7), 'red square': (0, 9), 'green circle': (3, 9), 'red circle': (3, 8), 'purple circle': (6, 5)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple square': [(4, 7), (3, 7)], 'red square': [(4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (0, 9)], 'green circle': [(4, 7), (4, 8), (4, 9), (3, 9)], 'red circle': [(4, 7), (3, 7), (3, 8)], 'purple circle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5)]}","{'purple square': ['left'], 'red square': ['up', 'up', 'left', 'left', 'left', 'left'], 'green circle': ['up', 'up', 'left'], 'red circle': ['left', 'up'], 'purple circle': ['down', 'left', 'left', 'down', 'right', 'right', 'right', 'right']}","{'purple square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (3, 7)], 'red square': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)], 'green circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9)], 'red circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8)], 'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5)]}","{'purple square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'right'], 'red square': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'green circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right'], 'red circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right'], 'purple circle': ['up', 'up', 'up', 'up', 'up', 'right', 'right']}"
21,"(4, 0)","(4, 7)",red square,"['purple', 'red', 'circle', 'square', 'triangle']","{(3, 7): 'purple circle', (0, 9): 'purple square', (3, 9): 'red triangle', (3, 8): 'red square', (6, 5): 'red circle'}",5,S,"{'purple': 'purple square', 'red': 'red square', 'circle': 'red circle', 'square': 'red square', 'triangle': 'red triangle'}","{'purple circle': (3, 7), 'purple square': (0, 9), 'red triangle': (3, 9), 'red square': (3, 8), 'red circle': (6, 5)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple circle': [(4, 7), (3, 7)], 'purple square': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 8), (0, 9)], 'red triangle': [(4, 7), (4, 8), (4, 9), (3, 9)], 'red square': [(4, 7), (3, 7), (3, 8)], 'red circle': [(4, 7), (4, 6), (4, 5), (5, 5), (6, 5)]}","{'purple circle': ['left'], 'purple square': ['left', 'left', 'left', 'left', 'up', 'up'], 'red triangle': ['up', 'up', 'left'], 'red square': ['left', 'up'], 'red circle': ['down', 'down', 'right', 'right']}","{'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7)], 'purple square': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)], 'red triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9)], 'red square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8)], 'red circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5)]}","{'purple circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right'], 'purple square': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'red triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right'], 'red square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right'], 'red circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'right', 'right', 'right', 'right']}"
22,"(4, 0)","(4, 7)",purple circle,"['triangle', 'circle', 'green', 'purple', 'red']","{(6, 9): 'green triangle', (4, 9): 'purple triangle', (7, 9): 'red circle', (5, 8): 'purple circle', (7, 4): 'green circle'}",5,R,"{'triangle': 'purple triangle', 'circle': 'purple circle', 'green': 'green triangle', 'purple': 'purple circle', 'red': 'red circle'}","{'green triangle': (6, 9), 'purple triangle': (4, 9), 'red circle': (7, 9), 'purple circle': (5, 8), 'green circle': (7, 4)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (5, 7), (6, 7), (6, 8), (6, 9)], 'purple triangle': [(4, 7), (4, 8), (4, 9)], 'red circle': [(4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9)], 'purple circle': [(4, 7), (4, 8), (5, 8)], 'green circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4)]}","{'green triangle': ['right', 'right', 'up', 'up'], 'purple triangle': ['up', 'up'], 'red circle': ['up', 'up', 'right', 'right', 'right'], 'purple circle': ['up', 'right'], 'green circle': ['left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right']}","{'green triangle': [(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9)], 'purple triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9)], 'red circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9)], 'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8)], 'green circle': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4)]}","{'green triangle': ['left', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'purple triangle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'red circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'purple circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'right', 'right', 'right'], 'green circle': ['right', 'right', 'right', 'up', 'up', 'up', 'up']}"
23,"(4, 0)","(4, 7)",red square,"['purple', 'red', 'circle', 'square', 'triangle']","{(6, 9): 'purple circle', (4, 9): 'purple square', (7, 9): 'red triangle', (5, 8): 'red square', (7, 4): 'red circle'}",5,S,"{'purple': 'purple circle', 'red': 'red circle', 'circle': 'red circle', 'square': 'red square', 'triangle': 'red triangle'}","{'purple circle': (6, 9), 'purple square': (4, 9), 'red triangle': (7, 9), 'red square': (5, 8), 'red circle': (7, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple circle': [(4, 7), (5, 7), (6, 7), (6, 8), (6, 9)], 'purple square': [(4, 7), (4, 8), (4, 9)], 'red triangle': [(4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9)], 'red square': [(4, 7), (5, 7), (5, 8)], 'red circle': [(4, 7), (5, 7), (6, 7), (7, 7), (7, 6), (7, 5), (7, 4)]}","{'purple circle': ['right', 'right', 'up', 'up'], 'purple square': ['up', 'up'], 'red triangle': ['up', 'up', 'right', 'right', 'right'], 'red square': ['right', 'up'], 'red circle': ['right', 'right', 'right', 'down', 'down', 'down']}","{'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9)], 'purple square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9)], 'red triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9)], 'red square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8)], 'red circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4)]}","{'purple circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'purple square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'red triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'red square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'red circle': ['up', 'up', 'left', 'left', 'up', 'up', 'right', 'right', 'right', 'right', 'right']}"
24,"(4, 0)","(4, 7)",red circle,"['square', 'circle', 'purple', 'red', 'green']","{(2, 7): 'purple square', (5, 9): 'red square', (4, 9): 'green circle', (0, 9): 'red circle', (6, 3): 'purple circle'}",5,R,"{'square': 'red square', 'circle': 'red circle', 'purple': 'purple square', 'red': 'red circle', 'green': 'green circle'}","{'purple square': (2, 7), 'red square': (5, 9), 'green circle': (4, 9), 'red circle': (0, 9), 'purple circle': (6, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple square': [(4, 7), (3, 7), (2, 7)], 'red square': [(4, 7), (5, 7), (5, 8), (5, 9)], 'green circle': [(4, 7), (4, 8), (4, 9)], 'red circle': [(4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (0, 9)], 'purple circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3)]}","{'purple square': ['left', 'left'], 'red square': ['right', 'up', 'up'], 'green circle': ['up', 'up'], 'red circle': ['up', 'up', 'left', 'left', 'left', 'left'], 'purple circle': ['left', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right']}","{'purple square': [(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (2, 5), (2, 6), (2, 7)], 'red square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9)], 'green circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9)], 'red circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (1, 9), (0, 9)], 'purple circle': [(4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3)]}","{'purple square': ['left', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'up'], 'red square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'red circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'left', 'left'], 'purple circle': ['right', 'right', 'up', 'up', 'up']}"
25,"(4, 0)","(4, 7)",green square,"['circle', 'square', 'purple', 'green', 'red']","{(2, 7): 'purple circle', (5, 9): 'green circle', (4, 9): 'red square', (0, 9): 'green square', (6, 3): 'purple square'}",5,S,"{'circle': 'green circle', 'square': 'green square', 'purple': 'purple square', 'green': 'green square', 'red': 'red square'}","{'purple circle': (2, 7), 'green circle': (5, 9), 'red square': (4, 9), 'green square': (0, 9), 'purple square': (6, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple circle': [(4, 7), (3, 7), (2, 7)], 'green circle': [(4, 7), (4, 8), (4, 9), (5, 9)], 'red square': [(4, 7), (4, 8), (4, 9)], 'green square': [(4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (0, 9)], 'purple square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (5, 3), (6, 3)]}","{'purple circle': ['left', 'left'], 'green circle': ['up', 'up', 'right'], 'red square': ['up', 'up'], 'green square': ['up', 'up', 'left', 'left', 'left', 'left'], 'purple square': ['down', 'down', 'down', 'down', 'right', 'right']}","{'purple circle': [(4, 0), (3, 0), (3, 1), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7)], 'green circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9)], 'red square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9)], 'green square': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)], 'purple square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3)]}","{'purple circle': ['left', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'up'], 'green circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'red square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'green square': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square': ['left', 'left', 'up', 'up', 'up', 'right', 'right', 'right', 'right']}"
26,"(4, 0)","(4, 7)",red square,"['triangle', 'square', 'purple', 'red', 'green']","{(5, 6): 'purple triangle', (8, 6): 'red triangle', (3, 8): 'green square', (2, 8): 'red square', (4, 5): 'purple square'}",5,R,"{'triangle': 'red triangle', 'square': 'red square', 'purple': 'purple triangle', 'red': 'red triangle', 'green': 'green square'}","{'purple triangle': (5, 6), 'red triangle': (8, 6), 'green square': (3, 8), 'red square': (2, 8), 'purple square': (4, 5)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (4, 6), (5, 6)], 'red triangle': [(4, 7), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'green square': [(4, 7), (3, 7), (3, 8)], 'red square': [(4, 7), (4, 8), (3, 8), (2, 8)], 'purple square': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (3, 5), (4, 5)]}","{'purple triangle': ['down', 'right'], 'red triangle': ['down', 'right', 'right', 'right', 'right'], 'green square': ['left', 'up'], 'red square': ['up', 'left', 'left'], 'purple square': ['down', 'left', 'left', 'down', 'right', 'right']}","{'purple triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)], 'red triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'green square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8)], 'red square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8)], 'purple square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5)]}","{'purple triangle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'red triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'green square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'right'], 'red square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square': ['up', 'up', 'up', 'up', 'up']}"
